employee_id,filename,timestamp,instruction,blur_score,brightness_score,face_width,face_height
NV001,dataset_inhouse\NV001\NV001_016_20260608_114457_377617.jpg,2026-06-08T11:44:57.377617,Quay mat sang phai,282.87,105.91,175,259
NV001,dataset_inhouse\NV001\NV001_017_20260608_114458_533690.jpg,2026-06-08T11:44:58.533690,Quay mat sang phai,249.75,96.15,173,256
NV001,dataset_inhouse\NV001\NV001_018_20260608_114459_674151.jpg,2026-06-08T11:44:59.674657,Quay mat sang phai,319.25,112.39,180,264
NV001,dataset_inhouse\NV001\NV001_019_20260608_114500_779751.jpg,2026-06-08T11:45:00.780757,Quay mat sang phai,335.47,113.29,183,263
NV001,dataset_inhouse\NV001\NV001_020_20260608_114501_887164.jpg,2026-06-08T11:45:01.887164,Quay mat sang phai,335.61,111.47,179,262
NV001,dataset_inhouse\NV001\NV001_021_20260608_114503_017028.jpg,2026-06-08T11:45:03.017028,Cui nhe,343.08,111.84,179,261
NV001,dataset_inhouse\NV001\NV001_022_20260608_114504_114312.jpg,2026-06-08T11:45:04.114312,Cui nhe,412.04,101.28,192,248
NV001,dataset_inhouse\NV001\NV001_023_20260608_114505_165216.jpg,2026-06-08T11:45:05.189925,Cui nhe,411.67,101.17,193,250
NV001,dataset_inhouse\NV001\NV001_024_20260608_114506_188154.jpg,2026-06-08T11:45:06.188154,Cui nhe,374.75,102.36,192,250
NV001,dataset_inhouse\NV001\NV001_025_20260608_114507_220115.jpg,2026-06-08T11:45:07.221648,Cui nhe,430.31,108.71,192,268
NV001,dataset_inhouse\NV001\NV001_026_20260608_114508_251350.jpg,2026-06-08T11:45:08.251350,Cui nhe,393.37,103.99,192,261
NV001,dataset_inhouse\NV001\NV001_027_20260608_114509_419112.jpg,2026-06-08T11:45:09.425122,Cui nhe,413.25,103.26,197,264
NV001,dataset_inhouse\NV001\NV001_028_20260608_114510_427104.jpg,2026-06-08T11:45:10.427104,Ngua mat nhe,387.06,104.18,195,259
NV001,dataset_inhouse\NV001\NV001_029_20260608_114511_605178.jpg,2026-06-08T11:45:11.605178,Ngua mat nhe,352.95,120.98,185,262
NV001,dataset_inhouse\NV001\NV001_030_20260608_114512_670476.jpg,2026-06-08T11:45:12.670476,Ngua mat nhe,289.41,126.51,180,246
NV001,dataset_inhouse\NV001\NV001_031_20260608_114513_799502.jpg,2026-06-08T11:45:13.823776,Ngua mat nhe,299.21,121.44,180,249
NV001,dataset_inhouse\NV001\NV001_032_20260608_114514_943145.jpg,2026-06-08T11:45:14.943145,Ngua mat nhe,296.9,121.49,181,249
NV001,dataset_inhouse\NV001\NV001_033_20260608_114516_004568.jpg,2026-06-08T11:45:16.004568,Ngua mat nhe,289.65,122.0,180,248
NV001,dataset_inhouse\NV001\NV001_034_20260608_114517_157523.jpg,2026-06-08T11:45:17.157523,Ngua mat nhe,298.02,122.4,180,248
NV001,dataset_inhouse\NV001\NV001_035_20260608_114518_270755.jpg,2026-06-08T11:45:18.295172,Cuoi nhe,292.94,118.37,182,258
NV001,dataset_inhouse\NV001\NV001_036_20260608_114519_345445.jpg,2026-06-08T11:45:19.345445,Cuoi nhe,301.14,113.84,186,262
NV001,dataset_inhouse\NV001\NV001_037_20260608_114520_445585.jpg,2026-06-08T11:45:20.445585,Cuoi nhe,322.58,114.63,185,257
NV001,dataset_inhouse\NV001\NV001_038_20260608_114521_573177.jpg,2026-06-08T11:45:21.606202,Cuoi nhe,340.2,114.26,186,259
NV001,dataset_inhouse\NV001\NV001_039_20260608_114522_656026.jpg,2026-06-08T11:45:22.680180,Cuoi nhe,306.9,112.04,188,259
NV001,dataset_inhouse\NV001\NV001_040_20260608_114523_700759.jpg,2026-06-08T11:45:23.700759,Cuoi nhe,350.95,111.71,187,262
NV001,dataset_inhouse\NV001\NV001_041_20260608_114524_854629.jpg,2026-06-08T11:45:24.854629,Cuoi nhe,389.89,110.67,186,269
NV001,dataset_inhouse\NV001\NV001_042_20260608_114525_901372.jpg,2026-06-08T11:45:25.901372,Deo kinh/khau trang neu co,367.65,109.54,188,265
NV001,dataset_inhouse\NV001\NV001_043_20260608_114527_045262.jpg,2026-06-08T11:45:27.070324,Deo kinh/khau trang neu co,352.21,108.52,188,269
NV001,dataset_inhouse\NV001\NV001_044_20260608_114528_060471.jpg,2026-06-08T11:45:28.060471,Deo kinh/khau trang neu co,370.06,109.87,187,269
NV001,dataset_inhouse\NV001\NV001_045_20260608_114529_231087.jpg,2026-06-08T11:45:29.231087,Deo kinh/khau trang neu co,380.72,109.3,188,267
NV001,dataset_inhouse\NV001\NV001_046_20260608_114530_301833.jpg,2026-06-08T11:45:30.301833,Deo kinh/khau trang neu co,363.81,110.14,187,267
NV001,dataset_inhouse\NV001\NV001_047_20260608_114531_399313.jpg,2026-06-08T11:45:31.423490,Deo kinh/khau trang neu co,353.34,109.98,188,263
NV001,dataset_inhouse\NV001\NV001_048_20260608_114532_548927.jpg,2026-06-08T11:45:32.548927,Deo kinh/khau trang neu co,359.29,109.91,187,263
NV001,dataset_inhouse\NV001\NV001_049_20260608_114533_580130.jpg,2026-06-08T11:45:33.580130,Deo kinh/khau trang neu co,340.78,110.3,187,262
NV001,dataset_inhouse\NV001\NV001_050_20260608_114534_639171.jpg,2026-06-08T11:45:34.639171,Deo kinh/khau trang neu co,326.52,110.39,186,264
NV001,dataset_inhouse\NV001\NV001_051_20260608_114535_780620.jpg,2026-06-08T11:45:35.819926,Deo kinh/khau trang neu co,342.95,107.52,182,260
NV001,dataset_inhouse\NV001\NV001_052_20260608_114536_912207.jpg,2026-06-08T11:45:36.912207,Deo kinh/khau trang neu co,430.11,100.66,180,267
NV001,dataset_inhouse\NV001\NV001_053_20260608_114538_005940.jpg,2026-06-08T11:45:38.005940,Deo kinh/khau trang neu co,407.28,105.13,182,263
NV001,dataset_inhouse\NV001\NV001_054_20260608_114539_159190.jpg,2026-06-08T11:45:39.159190,Deo kinh/khau trang neu co,447.5,107.48,184,266
NV001,dataset_inhouse\NV001\NV001_055_20260608_114540_239272.jpg,2026-06-08T11:45:40.264159,Deo kinh/khau trang neu co,382.41,107.09,184,264
NV001,dataset_inhouse\NV001\NV001_056_20260608_114541_389725.jpg,2026-06-08T11:45:41.389725,Deo kinh/khau trang neu co,394.68,107.39,185,264
NV001,dataset_inhouse\NV001\NV001_057_20260608_114542_487254.jpg,2026-06-08T11:45:42.487254,Deo kinh/khau trang neu co,377.73,108.75,187,265
NV001,dataset_inhouse\NV001\NV001_058_20260608_114543_500924.jpg,2026-06-08T11:45:43.500924,Deo kinh/khau trang neu co,350.49,107.48,187,263
NV001,dataset_inhouse\NV001\NV001_059_20260608_114544_589934.jpg,2026-06-08T11:45:44.591594,Deo kinh/khau trang neu co,353.93,107.54,187,263
NV001,dataset_inhouse\NV001\NV001_060_20260608_114545_672862.jpg,2026-06-08T11:45:45.672862,Deo kinh/khau trang neu co,361.65,107.64,186,262
NV001,dataset_inhouse\NV001\NV001_061_20260608_114546_701641.jpg,2026-06-08T11:45:46.701641,Deo kinh/khau trang neu co,355.72,107.71,187,263
NV001,dataset_inhouse\NV001\NV001_062_20260608_114547_813744.jpg,2026-06-08T11:45:47.813744,Deo kinh/khau trang neu co,359.69,107.66,187,263
NV001,dataset_inhouse\NV001\NV001_063_20260608_114548_973237.jpg,2026-06-08T11:45:48.973237,Deo kinh/khau trang neu co,352.36,107.77,187,264
NV001,dataset_inhouse\NV001\NV001_064_20260608_114550_022560.jpg,2026-06-08T11:45:50.055218,Deo kinh/khau trang neu co,382.37,106.91,185,262
NV001,dataset_inhouse\NV001\NV001_065_20260608_114551_057824.jpg,2026-06-08T11:45:51.057824,Deo kinh/khau trang neu co,378.75,105.63,184,258
NV001,dataset_inhouse\NV001\NV001_066_20260608_114552_100398.jpg,2026-06-08T11:45:52.100398,Deo kinh/khau trang neu co,364.2,108.5,188,264
NV001,dataset_inhouse\NV001\NV001_067_20260608_114553_101380.jpg,2026-06-08T11:45:53.106521,Deo kinh/khau trang neu co,318.78,109.17,186,264
NV001,dataset_inhouse\NV001\NV001_068_20260608_114554_114376.jpg,2026-06-08T11:45:54.114376,Deo kinh/khau trang neu co,302.01,108.22,187,262
NV001,dataset_inhouse\NV001\NV001_069_20260608_114555_142463.jpg,2026-06-08T11:45:55.142463,Deo kinh/khau trang neu co,358.38,109.01,188,267
NV001,dataset_inhouse\NV001\NV001_070_20260608_114556_182006.jpg,2026-06-08T11:45:56.182006,Deo kinh/khau trang neu co,365.67,108.53,188,266
NV001,dataset_inhouse\NV001\NV001_071_20260608_114557_322647.jpg,2026-06-08T11:45:57.350356,Deo kinh/khau trang neu co,375.46,109.02,187,265
NV001,dataset_inhouse\NV001\NV001_072_20260608_114558_323062.jpg,2026-06-08T11:45:58.323062,Deo kinh/khau trang neu co,375.95,109.1,186,266
NV001,dataset_inhouse\NV001\NV001_073_20260608_114559_405957.jpg,2026-06-08T11:45:59.406460,Deo kinh/khau trang neu co,358.02,109.16,187,265
NV001,dataset_inhouse\NV001\NV001_074_20260608_114600_427269.jpg,2026-06-08T11:46:00.427269,Deo kinh/khau trang neu co,375.25,109.8,187,265
NV001,dataset_inhouse\NV001\NV001_075_20260608_114601_603948.jpg,2026-06-08T11:46:01.629767,Deo kinh/khau trang neu co,347.02,109.33,188,263
NV001,dataset_inhouse\NV001\NV001_076_20260608_114602_677041.jpg,2026-06-08T11:46:02.677547,Deo kinh/khau trang neu co,361.7,109.27,189,263
NV001,dataset_inhouse\NV001\NV001_077_20260608_114603_740684.jpg,2026-06-08T11:46:03.746317,Deo kinh/khau trang neu co,363.99,109.44,189,266
NV001,dataset_inhouse\NV001\NV001_078_20260608_114604_862412.jpg,2026-06-08T11:46:04.862412,Deo kinh/khau trang neu co,319.25,108.59,189,263
NV001,dataset_inhouse\NV001\NV001_079_20260608_114605_980671.jpg,2026-06-08T11:46:05.980671,Deo kinh/khau trang neu co,357.77,109.89,187,266
NV001,dataset_inhouse\NV001\NV001_080_20260608_114607_045402.jpg,2026-06-08T11:46:07.045402,Deo kinh/khau trang neu co,374.26,109.49,188,264
NV001,dataset_inhouse\NV001\NV001_081_20260608_114608_091322.jpg,2026-06-08T11:46:08.098441,Deo kinh/khau trang neu co,293.15,111.12,185,265
NV001,dataset_inhouse\NV001\NV001_082_20260608_114609_135322.jpg,2026-06-08T11:46:09.135322,Deo kinh/khau trang neu co,394.86,107.7,183,261
NV001,dataset_inhouse\NV001\NV001_083_20260608_114610_251153.jpg,2026-06-08T11:46:10.282410,Deo kinh/khau trang neu co,243.41,106.32,175,258
NV001,dataset_inhouse\NV001\NV001_084_20260608_114611_264114.jpg,2026-06-08T11:46:11.264114,Deo kinh/khau trang neu co,290.46,113.64,175,260
NV001,dataset_inhouse\NV001\NV001_085_20260608_114612_391983.jpg,2026-06-08T11:46:12.391983,Deo kinh/khau trang neu co,298.16,113.22,176,259
NV001,dataset_inhouse\NV001\NV001_086_20260608_114613_420876.jpg,2026-06-08T11:46:13.420876,Deo kinh/khau trang neu co,317.82,110.22,181,260
NV001,dataset_inhouse\NV001\NV001_087_20260608_114614_493056.jpg,2026-06-08T11:46:14.501220,Deo kinh/khau trang neu co,307.18,110.23,180,260
NV001,dataset_inhouse\NV001\NV001_088_20260608_114615_593805.jpg,2026-06-08T11:46:15.593805,Deo kinh/khau trang neu co,302.64,109.94,180,260
NV001,dataset_inhouse\NV001\NV001_089_20260608_114616_660107.jpg,2026-06-08T11:46:16.660107,Deo kinh/khau trang neu co,309.76,108.86,178,256
NV001,dataset_inhouse\NV001\NV001_090_20260608_114617_679226.jpg,2026-06-08T11:46:17.703462,Deo kinh/khau trang neu co,321.11,112.49,182,258
NV001,dataset_inhouse\NV001\NV001_091_20260608_114618_704779.jpg,2026-06-08T11:46:18.729778,Deo kinh/khau trang neu co,331.0,112.38,183,260
NV001,dataset_inhouse\NV001\NV001_092_20260608_114619_726438.jpg,2026-06-08T11:46:19.726438,Deo kinh/khau trang neu co,317.8,112.39,183,258
NV001,dataset_inhouse\NV001\NV001_093_20260608_114620_883326.jpg,2026-06-08T11:46:20.883326,Deo kinh/khau trang neu co,334.2,112.53,185,258
NV001,dataset_inhouse\NV001\NV001_094_20260608_114621_944787.jpg,2026-06-08T11:46:21.945900,Deo kinh/khau trang neu co,313.95,112.64,184,258
NV001,dataset_inhouse\NV001\NV001_095_20260608_114622_951402.jpg,2026-06-08T11:46:22.954787,Deo kinh/khau trang neu co,310.63,112.39,183,256
NV001,dataset_inhouse\NV001\NV001_096_20260608_114624_107842.jpg,2026-06-08T11:46:24.108946,Deo kinh/khau trang neu co,316.06,112.44,184,257
NV001,dataset_inhouse\NV001\NV001_097_20260608_114625_236516.jpg,2026-06-08T11:46:25.236516,Deo kinh/khau trang neu co,311.08,112.43,183,258
NV001,dataset_inhouse\NV001\NV001_098_20260608_114626_273610.jpg,2026-06-08T11:46:26.273610,Deo kinh/khau trang neu co,320.63,112.22,184,258
NV001,dataset_inhouse\NV001\NV001_099_20260608_114627_287928.jpg,2026-06-08T11:46:27.297837,Deo kinh/khau trang neu co,311.72,111.91,184,258
NV002,dataset_inhouse\NV002\NV002_000_20260608_114907_869795.jpg,2026-06-08T11:49:07.871802,Nhin thang,183.82,104.58,143,182
NV002,dataset_inhouse\NV002\NV002_001_20260608_114908_918791.jpg,2026-06-08T11:49:08.919795,Nhin thang,204.83,108.28,141,196
NV002,dataset_inhouse\NV002\NV002_002_20260608_114909_958670.jpg,2026-06-08T11:49:09.962216,Nhin thang,203.86,110.67,138,182
NV002,dataset_inhouse\NV002\NV002_003_20260608_114911_072529.jpg,2026-06-08T11:49:11.072529,Nhin thang,171.45,109.7,139,179
NV002,dataset_inhouse\NV002\NV002_004_20260608_114912_123409.jpg,2026-06-08T11:49:12.126519,Nhin thang,91.88,109.84,145,185
NV002,dataset_inhouse\NV002\NV002_005_20260608_114913_155176.jpg,2026-06-08T11:49:13.155176,Nhin thang,179.26,106.66,138,181
NV002,dataset_inhouse\NV002\NV002_006_20260608_114914_175587.jpg,2026-06-08T11:49:14.177745,Nhin thang,179.54,103.77,138,183
NV002,dataset_inhouse\NV002\NV002_007_20260608_114915_196009.jpg,2026-06-08T11:49:15.196009,Quay mat sang trai,158.1,103.75,137,180
NV002,dataset_inhouse\NV002\NV002_008_20260608_114916_249405.jpg,2026-06-08T11:49:16.249405,Quay mat sang trai,157.33,104.46,138,183
NV002,dataset_inhouse\NV002\NV002_009_20260608_114917_403979.jpg,2026-06-08T11:49:17.404484,Quay mat sang trai,161.34,104.3,137,182
NV002,dataset_inhouse\NV002\NV002_010_20260608_114918_536755.jpg,2026-06-08T11:49:18.539492,Quay mat sang trai,160.66,103.53,136,181
NV002,dataset_inhouse\NV002\NV002_011_20260608_114919_669757.jpg,2026-06-08T11:49:19.669757,Quay mat sang trai,165.59,102.78,137,181
NV002,dataset_inhouse\NV002\NV002_012_20260608_114920_854503.jpg,2026-06-08T11:49:20.855586,Quay mat sang trai,179.6,104.91,137,181
NV002,dataset_inhouse\NV002\NV002_013_20260608_114921_925475.jpg,2026-06-08T11:49:21.925475,Quay mat sang trai,167.11,107.36,134,177
NV002,dataset_inhouse\NV002\NV002_014_20260608_114922_969525.jpg,2026-06-08T11:49:22.972765,Quay mat sang phai,183.25,106.87,136,175
NV002,dataset_inhouse\NV002\NV002_015_20260608_114924_107418.jpg,2026-06-08T11:49:24.107418,Quay mat sang phai,190.54,104.83,136,186
NV002,dataset_inhouse\NV002\NV002_016_20260608_114925_115023.jpg,2026-06-08T11:49:25.116030,Quay mat sang phai,149.78,103.1,135,178
NV002,dataset_inhouse\NV002\NV002_017_20260608_114926_156651.jpg,2026-06-08T11:49:26.156651,Quay mat sang phai,149.74,94.83,138,185
NV002,dataset_inhouse\NV002\NV002_018_20260608_114927_164829.jpg,2026-06-08T11:49:27.168117,Quay mat sang phai,127.64,94.66,138,189
NV002,dataset_inhouse\NV002\NV002_019_20260608_114928_308195.jpg,2026-06-08T11:49:28.308195,Quay mat sang phai,149.76,85.22,132,187
NV002,dataset_inhouse\NV002\NV002_020_20260608_114929_446828.jpg,2026-06-08T11:49:29.446828,Quay mat sang phai,181.49,88.87,136,185
NV002,dataset_inhouse\NV002\NV002_021_20260608_114930_551999.jpg,2026-06-08T11:49:30.553377,Cui nhe,171.94,91.48,136,188
NV002,dataset_inhouse\NV002\NV002_022_20260608_114931_599384.jpg,2026-06-08T11:49:31.599384,Cui nhe,200.46,86.4,136,181
NV002,dataset_inhouse\NV002\NV002_023_20260608_114932_773245.jpg,2026-06-08T11:49:32.773245,Cui nhe,203.63,85.96,137,182
NV002,dataset_inhouse\NV002\NV002_024_20260608_114933_900550.jpg,2026-06-08T11:49:33.901084,Cui nhe,182.78,102.93,137,174
NV002,dataset_inhouse\NV002\NV002_025_20260608_114935_076876.jpg,2026-06-08T11:49:35.080108,Cui nhe,167.96,107.94,135,166
NV002,dataset_inhouse\NV002\NV002_026_20260608_114936_220711.jpg,2026-06-08T11:49:36.223997,Cui nhe,144.01,97.71,145,178
NV002,dataset_inhouse\NV002\NV002_027_20260608_114937_396404.jpg,2026-06-08T11:49:37.396404,Cui nhe,151.65,98.24,144,194
NV002,dataset_inhouse\NV002\NV002_028_20260608_114938_484627.jpg,2026-06-08T11:49:38.484627,Ngua mat nhe,155.83,99.21,141,186
NV002,dataset_inhouse\NV002\NV002_029_20260608_114939_519132.jpg,2026-06-08T11:49:39.519639,Ngua mat nhe,186.62,100.97,139,178
NV002,dataset_inhouse\NV002\NV002_030_20260608_114940_540971.jpg,2026-06-08T11:49:40.546287,Ngua mat nhe,132.22,100.52,136,170
NV002,dataset_inhouse\NV002\NV002_031_20260608_114941_609935.jpg,2026-06-08T11:49:41.609935,Ngua mat nhe,138.23,95.36,136,177
NV002,dataset_inhouse\NV002\NV002_032_20260608_114942_790661.jpg,2026-06-08T11:49:42.791651,Ngua mat nhe,162.84,104.48,126,178
NV002,dataset_inhouse\NV002\NV002_033_20260608_114943_844166.jpg,2026-06-08T11:49:43.844166,Ngua mat nhe,116.41,108.46,135,159
NV002,dataset_inhouse\NV002\NV002_034_20260608_114944_845802.jpg,2026-06-08T11:49:44.847628,Ngua mat nhe,139.09,97.44,138,183
NV002,dataset_inhouse\NV002\NV002_035_20260608_114945_960146.jpg,2026-06-08T11:49:45.960146,Cuoi nhe,194.99,85.66,137,191
NV002,dataset_inhouse\NV002\NV002_036_20260608_114947_022626.jpg,2026-06-08T11:49:47.022626,Cuoi nhe,201.79,85.02,138,193
NV002,dataset_inhouse\NV002\NV002_037_20260608_114948_161126.jpg,2026-06-08T11:49:48.161126,Cuoi nhe,197.73,84.03,138,189
NV002,dataset_inhouse\NV002\NV002_038_20260608_114949_226521.jpg,2026-06-08T11:49:49.247265,Cuoi nhe,127.98,87.83,138,193
NV002,dataset_inhouse\NV002\NV002_039_20260608_114950_281326.jpg,2026-06-08T11:49:50.281326,Cuoi nhe,163.83,104.01,137,176
NV002,dataset_inhouse\NV002\NV002_040_20260608_114951_308796.jpg,2026-06-08T11:49:51.308796,Cuoi nhe,169.45,105.8,136,174
NV002,dataset_inhouse\NV002\NV002_041_20260608_114952_335712.jpg,2026-06-08T11:49:52.336265,Cuoi nhe,149.15,102.12,136,181
NV002,dataset_inhouse\NV002\NV002_042_20260608_114953_373879.jpg,2026-06-08T11:49:53.377343,Deo kinh/khau trang neu co,181.03,92.21,135,196
NV002,dataset_inhouse\NV002\NV002_043_20260608_114954_510533.jpg,2026-06-08T11:49:54.511543,Deo kinh/khau trang neu co,214.19,100.54,141,192
NV002,dataset_inhouse\NV002\NV002_044_20260608_114955_552664.jpg,2026-06-08T11:49:55.553671,Deo kinh/khau trang neu co,195.34,87.92,139,199
NV002,dataset_inhouse\NV002\NV002_045_20260608_114956_554855.jpg,2026-06-08T11:49:56.554855,Deo kinh/khau trang neu co,172.15,98.65,142,201
NV002,dataset_inhouse\NV002\NV002_046_20260608_114957_666066.jpg,2026-06-08T11:49:57.667916,Deo kinh/khau trang neu co,157.65,92.25,140,186
NV002,dataset_inhouse\NV002\NV002_047_20260608_114958_787135.jpg,2026-06-08T11:49:58.787135,Deo kinh/khau trang neu co,155.52,96.58,140,187
NV002,dataset_inhouse\NV002\NV002_048_20260608_114959_857102.jpg,2026-06-08T11:49:59.857102,Deo kinh/khau trang neu co,155.93,97.41,141,185
NV002,dataset_inhouse\NV002\NV002_049_20260608_115001_030285.jpg,2026-06-08T11:50:01.030285,Deo kinh/khau trang neu co,162.96,99.09,142,187
NV002,dataset_inhouse\NV002\NV002_050_20260608_115002_167055.jpg,2026-06-08T11:50:02.192807,Deo kinh/khau trang neu co,157.54,97.46,139,187
NV002,dataset_inhouse\NV002\NV002_051_20260608_115003_183973.jpg,2026-06-08T11:50:03.209279,Deo kinh/khau trang neu co,160.69,94.98,146,187
NV002,dataset_inhouse\NV002\NV002_052_20260608_115004_265702.jpg,2026-06-08T11:50:04.265702,Deo kinh/khau trang neu co,163.26,111.65,135,161
NV002,dataset_inhouse\NV002\NV002_053_20260608_115005_363401.jpg,2026-06-08T11:50:05.363907,Deo kinh/khau trang neu co,176.75,104.93,135,167
NV002,dataset_inhouse\NV002\NV002_054_20260608_115006_507582.jpg,2026-06-08T11:50:06.507582,Deo kinh/khau trang neu co,161.23,100.21,135,174
NV002,dataset_inhouse\NV002\NV002_055_20260608_115007_518673.jpg,2026-06-08T11:50:07.541997,Deo kinh/khau trang neu co,152.67,89.94,133,190
NV002,dataset_inhouse\NV002\NV002_056_20260608_115008_526687.jpg,2026-06-08T11:50:08.526687,Deo kinh/khau trang neu co,170.97,86.02,137,189
NV002,dataset_inhouse\NV002\NV002_057_20260608_115009_587672.jpg,2026-06-08T11:50:09.588180,Deo kinh/khau trang neu co,151.91,84.09,135,188
NV002,dataset_inhouse\NV002\NV002_058_20260608_115010_626198.jpg,2026-06-08T11:50:10.634330,Deo kinh/khau trang neu co,114.9,90.59,136,190
NV002,dataset_inhouse\NV002\NV002_059_20260608_115011_641303.jpg,2026-06-08T11:50:11.641303,Deo kinh/khau trang neu co,152.82,101.14,134,172
NV002,dataset_inhouse\NV002\NV002_060_20260608_115012_645526.jpg,2026-06-08T11:50:12.645526,Deo kinh/khau trang neu co,161.97,109.88,134,166
NV002,dataset_inhouse\NV002\NV002_061_20260608_115013_705368.jpg,2026-06-08T11:50:13.705368,Deo kinh/khau trang neu co,105.88,96.41,139,181
NV002,dataset_inhouse\NV002\NV002_062_20260608_115014_732448.jpg,2026-06-08T11:50:14.757059,Deo kinh/khau trang neu co,175.08,96.13,134,177
NV002,dataset_inhouse\NV002\NV002_063_20260608_115015_838895.jpg,2026-06-08T11:50:15.838895,Deo kinh/khau trang neu co,138.48,97.5,135,178
NV002,dataset_inhouse\NV002\NV002_064_20260608_115016_904405.jpg,2026-06-08T11:50:16.904921,Deo kinh/khau trang neu co,147.53,99.95,137,179
NV002,dataset_inhouse\NV002\NV002_065_20260608_115018_084676.jpg,2026-06-08T11:50:18.084676,Deo kinh/khau trang neu co,163.91,101.9,138,178
NV002,dataset_inhouse\NV002\NV002_066_20260608_115019_208636.jpg,2026-06-08T11:50:19.233734,Deo kinh/khau trang neu co,114.41,97.93,139,180
NV002,dataset_inhouse\NV002\NV002_067_20260608_115020_255874.jpg,2026-06-08T11:50:20.255874,Deo kinh/khau trang neu co,136.3,84.35,138,193
NV002,dataset_inhouse\NV002\NV002_068_20260608_115021_422631.jpg,2026-06-08T11:50:21.423643,Deo kinh/khau trang neu co,162.27,83.61,137,188
NV002,dataset_inhouse\NV002\NV002_069_20260608_115022_430085.jpg,2026-06-08T11:50:22.430085,Deo kinh/khau trang neu co,146.39,85.55,136,189
NV002,dataset_inhouse\NV002\NV002_070_20260608_115023_454210.jpg,2026-06-08T11:50:23.479904,Deo kinh/khau trang neu co,163.22,82.28,138,189
NV002,dataset_inhouse\NV002\NV002_071_20260608_115024_514164.jpg,2026-06-08T11:50:24.514164,Deo kinh/khau trang neu co,160.74,80.84,140,189
NV002,dataset_inhouse\NV002\NV002_072_20260608_115025_712595.jpg,2026-06-08T11:50:25.712595,Deo kinh/khau trang neu co,158.63,81.47,141,189
NV002,dataset_inhouse\NV002\NV002_073_20260608_115026_839503.jpg,2026-06-08T11:50:26.839503,Deo kinh/khau trang neu co,160.78,81.52,141,187
NV002,dataset_inhouse\NV002\NV002_074_20260608_115027_842505.jpg,2026-06-08T11:50:27.873092,Deo kinh/khau trang neu co,173.47,105.12,139,176
NV002,dataset_inhouse\NV002\NV002_075_20260608_115029_033853.jpg,2026-06-08T11:50:29.033853,Deo kinh/khau trang neu co,153.42,104.12,134,173
NV002,dataset_inhouse\NV002\NV002_076_20260608_115030_055751.jpg,2026-06-08T11:50:30.056742,Deo kinh/khau trang neu co,138.23,108.29,136,167
NV002,dataset_inhouse\NV002\NV002_077_20260608_115031_101491.jpg,2026-06-08T11:50:31.125738,Deo kinh/khau trang neu co,134.54,87.39,138,190
NV002,dataset_inhouse\NV002\NV002_078_20260608_115032_132145.jpg,2026-06-08T11:50:32.155909,Deo kinh/khau trang neu co,154.48,82.0,137,185
NV002,dataset_inhouse\NV002\NV002_079_20260608_115033_137469.jpg,2026-06-08T11:50:33.137469,Deo kinh/khau trang neu co,158.54,82.12,137,185
